City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
454,Nuevo Progreso,MX,79.53800000000004,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
459,Tateyama,JP,80.52800000000008,moderate rain,34.9833,139.8667,Tateyama Seaside Hotel
462,Soure,BR,77.93600000000006,scattered clouds,-0.7167,-48.5233,Casarão da Amazônia
464,Dalbandin,PK,87.99800000000002,clear sky,28.8947,64.4101,Sanjrani House
466,Awbari,LY,82.83200000000002,clear sky,26.5921,12.7805,فندق أوباري
468,Yinchuan,CN,82.11200000000005,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
469,Ambon,ID,87.94400000000007,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
471,Bada,RU,76.316,scattered clouds,51.392,109.8717,Kafe Gostinitsa
474,Boueni,YT,78.78200000000001,clear sky,-12.9025,45.0761,The feet in water
478,Boulder City,US,88.44800000000004,clear sky,35.9786,-114.8325,Boulder Dam Hotel
486,Hambantota,LK,86.342,few clouds,6.1241,81.1185,Bungalow 63
487,Pueblo,US,76.83800000000005,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
488,Zaysan,KZ,88.16000000000008,few clouds,47.4667,84.8667,Ерлан үй
489,Lorengau,PG,84.32600000000009,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
491,Mount Isa,AU,78.566,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
493,Bandarbeyla,SO,84.81200000000007,broken clouds,9.4942,50.8122,JABIR HOTEL
494,Linguere,SN,80.78000000000004,light rain,15.3953,-15.1193,AYO Casablanca
499,San Ignacio,BZ,75.34400000000008,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
502,Coatzacoalcos,MX,77.72000000000006,overcast clouds,18.15,-94.4167,Hotel Terraza Del Sol
504,Tazovskiy,RU,75.308,overcast clouds,67.4667,78.7,TazHostel
505,Kudahuvadhoo,MV,83.96600000000001,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
506,Pulandian,CN,85.13600000000008,overcast clouds,39.3953,121.9669,HR East Hotel
507,Tual,ID,81.608,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
509,Bichura,RU,76.87400000000002,scattered clouds,50.5881,107.6022,Gostinitsa Uyut
510,Sabha,LY,82.76000000000008,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
511,Muravlenko,RU,78.62000000000006,clear sky,63.7898,74.523,Hostel Rus Muravlenko
512,Cockburn Town,TC,81.15800000000002,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
513,Manggar,ID,79.16000000000008,overcast clouds,-2.8833,108.2667,Guest Hotel
515,Wangjing,IN,84.18200000000002,broken clouds,24.6,94.0333,Premrodesh
