City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
121,Cherskiy,RU,2022-06-21 04:39:39,68.75,161.3,40.55,64,100,5.16,overcast clouds
122,Carnarvon,AU,2022-06-21 04:39:40,-24.8667,113.6333,75.66800000000009,40,0,4.1,clear sky
123,Bethel,US,2022-06-21 04:36:53,41.3712,-73.414,64.70600000000003,78,0,1.54,clear sky
124,Sargatskoye,RU,2022-06-21 04:39:40,55.6101,73.4972,65.82200000000003,90,99,3.48,overcast clouds
125,Bida,NG,2022-06-21 04:39:41,9.0833,6.0167,73.43600000000006,89,91,1.63,overcast clouds
126,Saryagash,KZ,2022-06-21 04:39:42,41.4511,69.1701,75.16400000000004,37,91,0.36,overcast clouds
127,Campoverde,PE,2022-06-21 04:39:42,-8.4753,-74.8058,73.09400000000008,81,91,0.65,overcast clouds
128,Keetmanshoop,NA,2022-06-21 04:39:43,-26.5833,18.1333,41.68399999999999,78,4,2.22,clear sky
129,Saint George,US,2022-06-21 04:38:27,37.1041,-113.5841,82.99400000000009,11,0,2.06,clear sky
130,Phuket,TH,2022-06-21 04:38:13,8.0,98.25,86.09000000000003,74,20,3.09,light rain
131,Waitati,NZ,2022-06-21 04:39:45,-45.75,170.5667,45.806000000000026,64,0,1.2,clear sky
132,Concarneau,FR,2022-06-21 04:39:45,47.875,-3.9225,61.82600000000009,92,55,3.52,broken clouds
133,Conceicao Do Araguaia,BR,2022-06-21 04:39:46,-8.2578,-49.2647,69.47600000000008,56,21,0.25,few clouds
134,Shibetsu,JP,2022-06-21 04:39:46,43.659,145.132,70.50200000000008,60,20,3.09,few clouds
135,Maniitsoq,GL,2022-06-21 04:39:47,65.4167,-52.9,35.096000000000046,91,100,1.61,overcast clouds
136,Nishihara,JP,2022-06-21 04:40:47,26.1842,127.7558,87.458,81,40,8.75,scattered clouds
137,Mehamn,NO,2022-06-21 04:40:48,71.0357,27.8492,53.54600000000005,62,0,9.26,clear sky
138,Lebu,CL,2022-06-21 04:40:48,-37.6167,-73.65,48.16400000000003,88,100,3.48,moderate rain
139,Viedma,AR,2022-06-21 04:40:49,-40.8135,-62.9967,40.280000000000044,61,54,4.5,broken clouds
140,Vao,NC,2022-06-21 04:40:49,-22.6667,167.4833,71.09600000000006,59,7,8.25,clear sky
141,Port Blair,IN,2022-06-21 04:40:50,11.6667,92.75,85.22600000000008,72,99,5.85,overcast clouds
142,Hofn,IS,2022-06-21 04:40:51,64.2539,-15.2082,44.83399999999999,73,100,2.61,overcast clouds
143,Alofi,NU,2022-06-21 04:40:51,-19.0595,-169.9187,80.49199999999999,83,92,2.06,overcast clouds
144,Qaanaaq,GL,2022-06-21 04:40:52,77.484,-69.3632,36.62600000000009,85,95,1.69,overcast clouds
145,Senanga,ZM,2022-06-21 04:40:52,-16.1167,23.2667,52.736000000000075,60,0,3.28,clear sky
146,Alice Springs,AU,2022-06-21 04:40:53,-23.7,133.8833,71.15,32,0,5.66,clear sky
147,Ritchie,ZA,2022-06-21 04:40:54,-29.038,24.6028,51.00800000000001,71,0,5.53,clear sky
148,Riyadh,SA,2022-06-21 04:40:22,24.6877,46.7219,91.54400000000007,7,4,6.64,clear sky
149,Chokurdakh,RU,2022-06-21 04:40:55,70.6333,147.9167,49.964000000000034,28,96,4.03,overcast clouds
150,Malanville,BJ,2022-06-21 04:40:55,11.8685,3.3899,78.87200000000004,75,80,3.21,broken clouds
151,Nkoteng,CM,2022-06-21 04:40:56,4.5167,12.0333,63.932000000000016,99,93,1.02,overcast clouds
152,Hervey Bay,AU,2022-06-21 04:40:56,-25.2986,152.8535,70.01600000000002,69,94,3.13,overcast clouds
153,Alexandria,EG,2022-06-21 04:36:00,31.2156,29.9553,76.1,64,0,4.51,clear sky
154,Marathon,US,2022-06-21 04:40:57,44.9,-89.7668,81.93200000000002,72,0,3.09,clear sky
155,Codrington,AU,2022-06-21 04:40:58,-38.2667,141.9667,57.272000000000034,63,30,4.71,scattered clouds
156,Nemuro,JP,2022-06-21 04:40:58,43.3236,145.575,52.682000000000016,89,16,5.64,few clouds
157,Harnosand,SE,2022-06-21 04:40:59,62.6323,17.9379,53.6,66,93,1.03,overcast clouds
158,Ust-Koksa,RU,2022-06-21 04:40:59,50.2696,85.6108,69.18800000000005,56,93,0.66,overcast clouds
159,Dinghai,CN,2022-06-21 04:41:00,26.2847,119.7936,79.71800000000009,93,100,2.27,overcast clouds
160,Dunedin,NZ,2022-06-21 04:41:01,-45.8742,170.5036,45.806000000000026,64,0,2.11,clear sky
161,Kamenka,RU,2022-06-21 04:41:01,51.3223,42.7678,72.87800000000007,78,4,3.13,clear sky
162,Agadez,NE,2022-06-21 04:41:02,19.75,10.25,84.16400000000004,13,0,3.07,clear sky
163,Saldanha,ZA,2022-06-21 04:41:03,-33.0117,17.9442,55.45400000000005,69,98,5.22,overcast clouds
